date,type,registration,operator,fatalities,location,country,cat,year
17-JUN-2011,Antonov An-2T,RF-00447,DOSAAF,0.0,DOSAAF,Russia,O1,2011
17-JUN-2011,Dassault Falcon 10,C-GRIS,Skycharter,0.0,Skycharter,Canada,A1,2011
20-JUN-2011,Tupolev Tu-134A-3,RA-65691,"RusAir, op.for RusLine",47.0,"RusAir, op.for RusLine",Russia,A1,2011
24-JUN-2011,Antonov An-2R,RA-40420,Avialesookhrana,0.0,Avialesookhrana,Russia,A2,2011
04-JUL-2011,Cessna 208B Grand Caravan,C-FMCB,Missinippi Airways,1.0,Missinippi Airways,Canada,A1,2011
06-JUL-2011,Ilyushin Il-76TD,4K-AZ55,Silk Way,9.0,Silk Way,Afghanistan,A1,2011
08-JUL-2011,Boeing 727-22 (WL),9Q-COP,Hewa Bora Airways,77.0,Hewa Bora Airways,D.R. Congo,A1,2011
09-JUL-2011,Antonov An-2TP,SP-AOW,Aeroklub Kielecki,0.0,Aeroklub Kielecki,Poland,A2,2011
10-JUL-2011,BAe-125-700B,5N-BEX,Associated Aviation,0.0,Associated Aviation,Nigeria,A2,2011
11-JUL-2011,Antonov An-24RV,RA-47302,Angara Airlines,7.0,Angara Airlines,Russia,A1,2011
11-JUL-2011,DHC-6 Twin Otter 310,8Q-TMD,Trans Maldivian Airways,0.0,Trans Maldivian Airways,Maldives,A1,2011
12-JUL-2011,Learjet 35,N110UN,Robinson Air Crane,0.0,Robinson Air Crane,USA,A2,2011
13-JUL-2011,Let L-410UVP-E20,PR-NOB,NOAR Linhas A̩reas,16.0,NOAR Linhas A̩reas,Brazil,A1,2011
14-JUL-2011,ATR 72-202,SP-LFH,Eurolot,0.0,Eurolot,Poland,O1,2011
14-JUL-2011,Cessna 560XL Citation XLS,5N-BMM,Bristow Helicopters,0.0,Bristow Helicopters,Nigeria,A1,2011
14-JUL-2011,Boeing 767-332ER (WL),N185DN,Delta Air Lines,0.0,Delta Air Lines,USA,A2,2011
14-JUL-2011,Canadair CRJ-900ER,N132EV,"Delta Connection, opb ASA",0.0,"Delta Connection, opb ASA",USA,A2,2011
